Date,SPX,USO,SLV,EUR/USD,RSI,ROC,Moving Average,MFI,GLD
02/06/2008,1326.449951,69.019997,16.375,1.46171,55.57,2.6,83.96,57.28,88.949997
02/07/2008,1336.910034,69.800003,16.67,1.44789,58.47,3.87,84.13,64.28,89.849998
02/08/2008,1331.290039,72.900002,17.025999,1.557099,61.9,4.1,84.34,64.37,91
02/11/2008,1339.130005,74.550003,17.4,1.4502,62.84,3.58,84.58,61.22,91.330002
02/12/2008,1348.859985,73.589996,17.033001,1.458194,54.08,1.64,84.8,53.21,89.330002
2/13/2008,1367.209961,74.110001,17.132,1.455604,54.45,-0.71,85.04,46.12,89.440002
2/14/2008,1348.859985,75.760002,17.087,1.464408,55.42,-0.65,85.27,45.03,89.709999
2/15/2008,1349.98999,75.93,16.952,1.46761,52.91,-2.83,85.47,39.79,89.150002
2/19/2008,1348.780029,78.809998,17.378,1.472993,61.13,0.47,85.73,46.16,91.580002
2/20/2008,1360.030029,79.32,17.700001,1.472299,65.55,1.28,86,44.66,93.239998
2/21/2008,1342.530029,77.330002,17.695999,1.481503,65.57,2.02,86.3,52.51,93.25
2/22/2008,1353.109985,78.599998,17.916,1.482602,65.95,4.52,86.56,57.35,93.389999
2/25/2008,1371.800049,78.739998,17.99,1.483591,62.51,4.09,86.84,56.39,92.739998
2/26/2008,1381.290039,80.099998,18.6,1.49961,65.41,6.88,87.11,64.18,93.709999
2/27/2008,1380.02002,78.919998,19.132999,1.511807,68.32,6.55,87.43,64.65,94.779999
2/28/2008,1367.680054,81.480003,19.666,1.519595,71.26,6.83,87.78,65.44,95.989998
2/29/2008,1330.630005,80.419998,19.667999,1.519203,71.71,5.69,88.14,65.64,96.18
03/03/2008,1331.339966,81.32,20.163,1.520011,74.11,6.47,88.5,67,97.239998
03/04/2008,1326.75,79.400002,19.620001,1.521005,62.92,6.55,88.82,61.48,95.18
03/05/2008,1333.699951,83.300003,20.621,1.527697,69.11,9.26,89.2,69.39,97.720001
03/06/2008,1304.339966,83.889999,20.075001,1.538509,63.62,7.57,89.53,60.12,96.5
03/07/2008,1293.369995,83.730003,20.040001,1.533601,61.84,7.78,89.85,58.34,96.089996
03/10/2008,1273.369995,85.629997,19.475,1.534095,60.85,4.68,90.14,52.61,95.870003
03/11/2008,1320.650024,86.339996,19.52,1.534189,61.21,2.95,90.42,53.74,95.989998
03/12/2008,1308.77002,86.919998,19.969999,1.554002,64.24,4.03,90.7,52.54,97.010002
3/13/2008,1315.47998,87.209999,20.406,1.562207,67.78,5.3,91.02,58.8,98.339996
3/14/2008,1288.140015,86.510002,20.421,1.561792,68.71,6.44,91.3,66.62,98.709999
3/17/2008,1276.599976,83.300003,19.98,1.574803,69.87,5.83,91.57,69.8,99.169998
3/18/2008,1330.73999,85.800003,19.379,1.565803,56.72,1.81,91.8,61.43,96.5
3/19/2008,1298.420044,82.290001,18.250999,1.563893,44.92,-3.07,91.96,50.16,93.040001
3/20/2008,1329.51001,81.300003,16.701,1.544211,37.35,-6.52,92.03,43.03,89.910004
3/24/2008,1349.880005,80.260002,16.787001,1.543496,38.03,-7.34,92.1,43.44,90.099998
3/25/2008,1352.98999,81.470001,17.775,1.561207,46.69,-2.57,92.19,50.52,92.730003
3/26/2008,1341.130005,84.809998,18.225,1.582404,49.77,-4.01,92.29,49.83,93.800003
3/27/2008,1325.76001,85.730003,18.32,1.581403,48.8,-3.15,92.37,52.19,93.459999
3/28/2008,1315.219971,84.370003,17.75,1.576094,44.49,-4.38,92.45,52.57,91.879997
04/01/2008,1370.180054,81.059998,16.6,1.567791,33.74,-9.51,92.53,45.16,86.860001
04/02/2008,1367.530029,83.779999,17.246,1.566711,41.24,-7.98,92.57,46.11,89.269997
04/03/2008,1369.310059,83.650002,17.23,1.573688,41.68,-9.07,92.59,44.68,89.419998
04/07/2008,1372.540039,86.93,17.950001,1.557802,46.91,-8.07,92.66,36.52,91.169998
04/08/2008,1365.540039,87.190002,17.507,1.582404,44.81,-6.37,92.66,39.51,90.349998
04/09/2008,1354.48999,88.900002,18.014999,1.574208,50.45,-0.81,92.67,51.86,92.290001
04/10/2008,1360.550049,88.18,17.812,1.582203,49.01,2.07,92.68,63.84,91.769997
4/14/2008,1328.319946,89.639999,17.514999,1.578607,47.12,-1.75,92.66,53.99,91.110001
4/15/2008,1334.430054,91.440002,17.681999,1.595813,48.98,-2.28,92.71,51.85,91.660004
4/16/2008,1364.709961,92.150002,18.153999,1.590204,54.06,-0.2,92.79,58.1,93.269997
4/17/2008,1365.560059,92.370003,18.01,1.573391,51.62,0.74,92.89,58.93,92.559998
4/21/2008,1388.170044,94.379997,17.267,1.598798,44.49,3.9,92.93,74.23,90.25
4/22/2008,1375.939941,95.080002,17.476999,1.587402,44.56,1.12,92.92,74.4,90.269997
4/23/2008,1379.930054,95.18,17.000999,1.568406,41.36,-0.22,92.88,62.25,89.220001
4/24/2008,1388.819946,93.199997,16.552,1.563697,36.05,-3.36,92.83,50.74,87.220001
4/28/2008,1396.369995,95.690002,16.84,1.556711,38.19,-2.94,92.75,48.87,87.690002
4/29/2008,1390.939941,92.989998,16.382,1.562207,33.34,-7.02,92.68,40.76,85.809998
05/01/2008,1409.339966,90.379997,15.994,1.5434,31.07,-8.01,92.4,41.54,83.989998
05/05/2008,1407.48999,96.739998,16.573999,1.553591,40.6,-5.88,92.08,42.79,86.269997
05/06/2008,1418.26001,98.379997,16.73,1.538509,41.99,-7.12,91.96,43.3,86.629997
05/07/2008,1392.569946,99.800003,16.503,1.546408,39.73,-7.28,91.8,43.35,85.82
05/08/2008,1397.680054,100.660004,16.700001,1.548995,45.27,-3.73,91.65,48.92,87.239998
05/12/2008,1403.579956,100.110001,16.997,1.5477,44.53,-3.63,91.3,39.32,86.989998
5/13/2008,1403.040039,101.709999,16.554001,1.54691,39.63,-4.29,91.06,42.18,85.389999
5/14/2008,1408.660034,100.220001,16.365999,1.545094,39.08,-2.32,90.86,46.55,85.199997
5/15/2008,1423.569946,100.209999,16.555,1.5596,46.64,-0.31,90.65,53.91,87
5/19/2008,1426.630005,102.800003,16.819,1.565411,54.75,4.17,90.36,63.2,89.389999
5/20/2008,1413.400024,104.300003,17.5,1.578806,59.24,4.9,90.26,61.36,90.900002
5/21/2008,1390.709961,108.309998,17.860001,1.573193,62.09,9.49,90.18,73.35,91.959999
5/22/2008,1394.349976,105.629997,17.780001,1.578507,58.05,7.57,90.06,66.27,90.980003
5/27/2008,1385.349976,104.260002,17.256001,1.565607,51.51,3.15,89.73,58.73,89.360001
5/28/2008,1390.839966,105.919998,17.264999,1.551807,50.71,3.87,89.53,58.16,89.139999
5/29/2008,1398.26001,102.260002,16.478001,1.554098,42.3,-0.84,89.33,49.45,86.510002
06/02/2008,1385.670044,103.050003,16.642,1.545022,47.6,1.12,89.18,55.7,87.959999
06/03/2008,1377.650024,100.650002,16.587,1.543258,44.18,1.74,89.12,55.17,86.879997
06/04/2008,1377.199951,98.980003,16.641001,1.558895,43.47,1.7,89,55.78,86.650002
06/05/2008,1404.050049,103.949997,16.972,1.578507,42.82,-0.63,88.85,46.25,86.449997
06/09/2008,1361.76001,109.050003,16.944,1.546408,48.99,-1.57,88.68,42.78,87.989998
06/10/2008,1358.439941,107.019997,16.440001,1.555791,41.7,-5.89,88.59,33.85,85.550003
06/11/2008,1335.48999,110.989998,16.700001,1.546097,46.83,-5.37,88.59,32.96,87.019997
06/12/2008,1339.869995,111.269997,16.35,1.536901,42.9,-5.91,88.52,32.87,85.599998
6/16/2008,1360.140015,108.989998,16.950001,1.552193,47.88,-2.63,88.38,39.15,87.010002
6/17/2008,1350.930054,108.68,16.902,1.553808,48.71,-2.12,88.3,40.02,87.25
6/18/2008,1337.810059,110.889999,17.188999,1.550989,52.22,2.05,88.26,47.63,88.279999
6/19/2008,1342.829956,106.910004,17.153,1.562793,52.69,1.11,88.18,49.87,88.419998
6/23/2008,1318,110.919998,16.629999,1.557002,47.55,0.24,88.04,50.07,87.089996
6/24/2008,1314.290039,110.949997,16.492001,1.567398,48.98,0.95,87.97,55.13,87.470001
6/25/2008,1321.969971,108.5,16.625999,1.575299,48.79,1.12,87.89,56.34,87.419998
6/26/2008,1283.150024,113.120003,17.025,1.575299,59.55,1.74,87.83,56.76,90.610001
07/01/2008,1284.910034,114.589996,17.9,1.587806,64.97,6.48,87.87,68.89,92.660004
07/02/2008,1261.52002,116.839996,18.215,1.570007,66.27,8.84,87.93,75.8,93.169998
07/03/2008,1262.900024,116.82,18.000999,1.571388,60.96,7.26,87.99,69.46,92.059998
07/07/2008,1252.310059,114.949997,17.6,1.53339,57.26,4.85,88.07,62.5,91.230003
07/08/2008,1273.699951,109.919998,17.664,1.573589,55.64,4.14,88.14,60.08,90.860001
07/09/2008,1244.689941,109.650002,17.950001,1.578507,57.86,3.65,88.22,61.03,91.5
07/10/2008,1253.390015,114.339996,18.120001,1.594896,64.02,5.78,88.37,62.63,93.529999
7/14/2008,1228.300049,117.480003,18.934999,1.589901,69.73,10.13,88.78,74.07,95.910004
7/15/2008,1214.910034,112.389999,18.700001,1.582203,70.31,9.95,89.01,77,96.169998
7/16/2008,1245.359985,109.25,18.545,1.58559,61.78,8.03,89.18,73.55,94.440002
7/17/2008,1260.319946,105.529999,18.32,1.585389,60.77,3.98,89.33,63.48,94.220001
7/21/2008,1260,106.669998,18.228001,1.579205,63.51,4.07,89.65,61.97,95.120003
7/22/2008,1277,103.32,17.759001,1.569243,54,0.43,89.76,54.7,93.059998
7/23/2008,1282.189941,100.019997,17.190001,1.568874,45.2,-2.79,89.84,46.95,90.57
7/24/2008,1252.540039,101.459999,17.26,1.5673,47.98,-0.79,89.95,46.33,91.330002
7/28/2008,1234.369995,100.540001,17.360001,1.55909,49.45,0.96,90.18,54.31,91.730003
7/29/2008,1263.199951,98.040001,17.190001,1.557366,45.26,-0.99,90.21,49.39,90.589996
7/30/2008,1284.26001,102.129997,17.360001,1.559308,41.69,-4.29,90.21,42.51,89.519997
08/07/2008,1266.069946,96.440002,16.07,1.504891,33.68,-8.58,89.87,24.93,86.089996
8/25/2008,1266.839966,93.099998,13.33,1.464794,38.32,-5.98,88.38,42.16,80.93
8/26/2008,1271.51001,93.900002,13.45,1.472581,39.49,-6.24,88.26,40.9,81.230003
8/27/2008,1281.660034,95.660004,13.35,1.47141,40.02,-5.49,88.14,44.96,81.360001
8/28/2008,1300.680054,93.389999,13.55,1.467093,43.4,-2.66,88.02,50.55,82.18
09/02/2008,1277.579956,89.190002,12.94,1.448604,35.15,-1.64,87.69,57.93,79.199997
09/03/2008,1274.97998,88.440002,12.75,1.426493,34.4,-3.27,87.53,50.31,78.889999
09/04/2008,1236.829956,87.019997,12.63,1.427491,33.19,-1.21,87.35,51.73,78.389999
09/08/2008,1267.790039,85.93,11.95,1.414847,35.72,0.08,86.94,63.94,78.860001
09/09/2008,1224.51001,82.349998,11.18,1.398406,29.81,-4.9,86.64,51.78,76.489998
09/10/2008,1232.040039,82.970001,10.6,1.3996,25.46,-7.29,86.3,38.79,74.220001
09/11/2008,1249.050049,81.489998,10.32,1.423994,23.6,-11.2,85.91,27.37,73.080002
9/15/2008,1192.699951,76.300003,10.95,1.413507,42.13,-4.16,85.27,42.28,77.559998
9/16/2008,1213.599976,74.989998,10.4,1.432932,40.25,-5.47,84.98,36.11,76.790001
9/17/2008,1156.390015,77.5,11.9,1.430492,61.23,5.04,84.87,51.32,85.459999
9/18/2008,1206.51001,79.169998,11.89,1.441795,54.87,0.75,84.7,59.94,82.800003
9/22/2008,1207.089966,87.620003,13.35,1.469292,64.71,12.6,84.43,70.31,89.18
9/23/2008,1188.219971,86.129997,13.18,1.463315,62.65,11.95,84.27,67.67,88.32
9/24/2008,1185.869995,84.860001,13.09,1.464193,58.88,10.61,84.08,66.22,86.709999
9/25/2008,1209.180054,86.690002,13.03,1.459897,58.27,9.46,83.92,61.54,86.449997
9/29/2008,1106.420044,77.089996,12.95,1.409642,63.51,17.1,83.68,69.6,89.57
9/30/2008,1166.359985,82.010002,11.85,1.40162,53.11,14.62,83.48,70.52,85.07
10/01/2008,1161.060059,79.589996,12.33,1.380796,54.7,17.64,83.34,75.41,85.970001
10/02/2008,1114.280029,75.82,10.8,1.378493,47.63,8.97,83.17,70.36,82.330002
10/06/2008,1056.890015,71.610001,10.75,1.358806,51.49,9.75,82.85,69.49,84.279999
10/07/2008,996.22998,72.489998,11.38,1.495707,56.8,2.12,82.76,65.98,87.269997
10/08/2008,984.940002,72.260002,11.51,1.359804,60.17,8,82.74,63.26,89.419998
10/09/2008,909.919983,69.599998,11.95,1.3398,60.91,4.56,82.74,56.66,89.900002
10/13/2008,1003.349976,67.779999,10.59,1.361804,45.76,-7.17,82.46,45.72,81.989998
10/14/2008,998.01001,65.029999,10.86,1.344393,46.17,-5.2,82.34,50.03,82.199997
10/15/2008,907.840027,60.73,10.27,1.349,48.37,-3.63,82.28,55.64,83.309998
10/16/2008,946.429993,59.34,9.6,1.3423,41.71,-8.48,82.13,48,79.290001
10/20/2008,985.400024,61.799999,9.77,1.306114,41.52,-7.72,81.84,43.13,78.5
10/21/2008,955.049988,58.77,9.98,1.281673,37.96,-11.56,81.74,38.39,76.029999
10/22/2008,896.780029,54.93,9.45,1.294498,32.68,-12.9,81.56,38.74,71.709999
10/23/2008,908.109985,56.599998,9.38,1.262993,31.52,-14.46,81.34,44.99,70.650002
10/27/2008,848.919983,50.849998,8.85,1.246463,35.12,-17.29,81.09,42.29,72.18
10/28/2008,940.51001,53.220001,9.05,1.280902,39,-17.48,80.99,36.2,73.790001
10/29/2008,930.090027,55.68,9.67,1.295924,39.51,-17.69,80.86,43.26,74
10/30/2008,954.090027,54,9.68,1.286803,37.45,-12.63,80.71,51.01,72.709999
10/31/2008,968.75,55.59,9.58,1.270196,35.34,-12.99,80.5,53.27,71.339996
11/03/2008,966.299988,52.490002,9.62,1.261798,34.97,-13.5,80.3,48.59,71.099998
11/04/2008,1005.75,57.380001,10.12,1.298398,46.11,-9.4,80.19,46.71,75.480003
11/05/2008,952.77002,53.84,10.21,1.291806,41.43,-8.19,80.02,52.55,72.800003
11/06/2008,904.880005,50.150002,9.9,1.269503,40.47,-6.46,79.84,54.21,72.220001
11/07/2008,930.98999,50.040001,9.94,1.271407,41.18,-7.64,79.64,49.72,72.5
11/10/2008,919.210022,51.23,10.06,1.274795,43.94,-3.22,79.48,54.86,73.580002
11/11/2008,898.950012,48.110001,9.64,1.251596,41,0.47,79.34,59.92,72.050003
11/12/2008,852.299988,45.75,9.17,1.245904,37.4,-0.92,79.16,51.67,70
11/13/2008,911.289978,49,9.3,1.278871,43.06,-0.08,79.03,49.74,72.150002
11/14/2008,873.289978,46.18,9.36,1.2597,45.87,1.55,78.92,50.05,73.300003
11/17/2008,850.75,45.16,9.18,1.264398,44.53,-1.54,78.8,44.4,72.650002
11/18/2008,859.119995,44.77,9.48,1.263695,44.23,-2.01,78.72,34.94,72.510002
11/19/2008,806.580017,43.259998,9.1,1.250531,43.67,-0.62,78.68,44.31,72.260002
11/20/2008,752.440002,39.549999,8.86,1.243905,47.13,2.96,78.68,52.57,73.449997
11/21/2008,800.030029,41,9.52,1.259097,59.63,10.9,78.75,63.81,78.849998
11/24/2008,851.809998,44.130001,10.43,1.291773,62.88,7.19,78.82,65.91,80.910004
11/25/2008,857.390015,41.360001,10.19,1.303407,62.77,11.09,78.9,62.77,80.870003
11/26/2008,887.679993,44.540001,10.19,1.289923,61.3,11.3,78.8,62.98,80.379997
11/28/2008,896.23999,42.09,10.23,1.269793,61.08,10.77,78.75,65.84,80.309998
12/01/2008,816.210022,39.889999,9.18,1.259906,48.62,2.81,78.54,60.05,75.650002
12/02/2008,848.809998,38.5,9.49,1.271326,51.59,6.8,78.3,64.17,76.949997
12/03/2008,870.73999,38.049999,9.51,1.270793,49.75,8.83,78.05,63.68,76.18
12/04/2008,845.219971,35.41,9.38,1.2774,48.13,4.64,77.83,56.37,75.5
12/05/2008,876.070007,34.25,9.4,1.271698,45.8,1.66,77.59,49.36,74.519997
12/08/2008,909.700012,36.119999,9.89,1.491803,50.24,4.89,77.38,53.39,76.199997
12/09/2008,888.669983,34.450001,9.7,1.292608,50.58,5.27,77.12,58.1,76.330002
12/10/2008,899.23999,35.810001,10.12,1.301406,58.54,10.37,77.01,58.85,79.75
12/11/2008,873.590027,38.639999,10.2,1.332996,60.35,9.8,76.9,59.24,80.650002
12/12/2008,879.72998,38.099998,10.14,1.335399,60.67,2.49,76.87,47.19,80.809998
12/15/2008,868.570007,36.84,10.55,1.3696,64.24,2.09,76.87,45.61,82.599998
12/16/2008,913.179993,36.439999,11.03,1.406193,67.54,4.44,76.88,57.31,84.459999
12/17/2008,904.419983,34.810001,11.29,1.440839,69.14,6.28,76.84,66.1,85.43
12/18/2008,885.280029,32.73,10.84,1.429307,63.71,4.43,76.73,59.08,83.870003
12/19/2008,887.880005,33.060001,10.67,1.392603,59.69,9.23,76.58,60.07,82.629997
12/22/2008,871.630005,30.629999,10.73,1.395907,61.44,8.46,76.59,60.13,83.459999
12/23/2008,863.159973,30,10.16,1.393787,58.7,8.47,76.6,61.34,82.629997
12/24/2008,868.150024,29.02,10.28,1.400894,60.59,10.54,76.63,65.8,83.459999
12/26/2008,872.799988,29.1,10.64,1.402702,65.05,14.87,76.67,71.83,85.599998
12/29/2008,869.419983,30.92,10.77,1.403903,66.48,13.32,76.81,73.32,86.349998
12/30/2008,890.640015,30.200001,10.82,1.414007,64.77,12.54,76.99,67.5,85.900002
12/31/2008,903.25,33.099998,11.2,1.397995,66.07,8.49,77.15,65.97,86.519997
01/02/2009,931.799988,35.630001,11.41,1.392292,64.86,6.92,77.35,64.35,86.230003
01/05/2009,927.450012,37.299999,11.11,1.364592,58,4.54,77.61,65.49,84.480003
01/06/2009,934.700012,37.25,11.34,1.351004,59.7,3.06,77.9,65.06,85.129997
01/07/2009,906.650024,33.27,10.86,1.3611,51.46,-2.02,78.11,53.92,82.75
01/08/2009,909.72998,33.200001,10.99,1.369901,56.14,-1.14,78.35,49.59,84.459999
01/09/2009,890.349976,32.369999,11.1,1.345497,54.36,0.06,78.56,53.18,83.919998
01/12/2009,870.26001,30.65,10.5,1.336005,45.29,-2.26,78.69,50.87,80.760002
1/13/2009,871.789978,31.84,10.6,1.320202,45.66,-3.09,78.86,52.07,80.879997
1/14/2009,842.619995,31.23,10.45,1.321702,42.82,-3.44,79.02,48.67,79.790001
1/15/2009,843.73999,30.18,10.49,1.315807,44.85,-3.68,79.21,42.66,80.389999
1/16/2009,850.119995,29.860001,11.11,1.329204,51.96,-3.38,79.35,46.68,82.709999
1/20/2009,805.219971,28.66,11.09,1.288494,56.66,-2.12,79.59,49.11,84.519997
1/21/2009,840.23999,31.030001,11.18,1.300508,55.47,-2.04,79.83,47.67,84.150002
1/22/2009,827.5,30.02,11.33,1.300678,56.61,-2.24,80.07,50.76,84.580002
1/23/2009,831.950012,32.330002,11.85,1.296496,65.4,2.67,80.37,57.57,88.529999
1/26/2009,836.570007,32.139999,11.9,1.319192,66.19,5.29,80.71,63.98,88.949997
1/27/2009,845.710022,29.5,11.85,1.321598,64.06,3.82,81.07,58.24,88.379997
1/28/2009,874.090027,29.75,11.86,1.315322,60.54,5.64,81.38,56.69,87.419998
1/29/2009,845.140015,29.219999,12.26,1.293795,65.03,5.97,81.7,58.8,89.5
1/30/2009,825.880005,29.219999,12.52,1.283697,68.4,8.81,82.08,64.64,91.309998
02/02/2009,825.440002,28.4,12.21,1.281493,59.92,10,82.4,63.64,88.839996
02/03/2009,838.51001,28.870001,12.32,1.301287,58.74,9.38,82.73,57.88,88.470001
02/04/2009,832.22998,28.27,12.42,1.285562,60.35,11.77,83.04,63.55,89.18
02/05/2009,845.849976,28.809999,12.75,1.279116,62.43,12.1,83.27,69.86,90.120003
02/06/2009,868.599976,28.200001,12.91,1.292708,60.5,8.32,83.44,64.47,89.589996
02/09/2009,869.890015,28.25,12.72,1.295908,56.03,4.5,83.59,56.91,88.32
02/10/2009,827.159973,26.91,12.98,1.291406,60.69,7.2,83.79,63.49,90.209999
02/11/2009,833.73999,26.08,13.34,1.286803,65.07,9.12,84.03,68.21,92.290001
02/12/2009,835.190002,26.129999,13.33,1.289092,66.76,5.24,84.38,68.92,93.169998
2/13/2009,826.840027,25.6,13.54,1.286604,64.4,4.05,84.69,63.63,92.550003
2/17/2009,789.169983,23.459999,13.99,1.258194,69.79,8,85.07,69.1,95.449997
2/18/2009,788.419983,22.860001,14.17,1.256897,72.08,10.86,85.5,75.62,96.910004
2/19/2009,778.940002,24.280001,13.89,1.265903,67.76,7.01,85.93,69.09,95.769997
2/20/2009,770.049988,24.35,14.25,1.293293,71.08,7.11,86.36,71.31,97.800003
2/23/2009,743.330017,23.32,14.34,1.267813,70.81,10.01,86.79,69.5,97.730003
2/24/2009,773.140015,24.440001,13.61,1.287399,60.21,7.08,89.09,65.56,94.730003
2/25/2009,764.900024,26,13.49,1.272426,55.5,4.45,87.43,60.03,93.150002
2/26/2009,752.830017,27.23,12.97,1.272054,55.23,3.26,87.58,54.23,93.059998
2/27/2009,735.090027,27.049999,12.88,1.267893,53.91,3.39,87.78,59.01,92.629997
03/02/2009,700.820007,24.48,12.77,1.256408,48.91,2.96,87.91,58.49,90.93
03/03/2009,696.330017,25.389999,12.65,1.25318,46.48,-0.19,88,52.5,90.040001
03/04/2009,712.869995,27.610001,12.78,1.263807,43.72,-3.58,88.11,43.45,88.989998
03/05/2009,682.549988,26.559999,13.15,1.254674,52.41,-1.27,88.29,41.2,91.989998
03/06/2009,683.380005,27.99,13.18,1.263807,53.19,-0.28,88.47,46.06,92.290001
03/09/2009,676.530029,28.65,12.77,1.262276,48.31,-5.11,86.63,39.98,90.57
03/10/2009,719.599976,27.83,12.45,1.271666,42.4,-9.05,88.72,32.52,88.139999
03/11/2009,721.359985,26.299999,12.59,1.280672,45.59,-6.84,88.79,37.36,89.220001
03/12/2009,750.73999,28.23,12.79,1.28989,50.7,-6.85,88.89,32.53,91.099998
3/13/2009,756.549988,27.629999,13.05,1.292992,51.23,-6.58,89,37.41,91.300003
3/16/2009,753.890015,28.25,12.79,1.297606,49.8,-4.15,89.08,40.75,90.800003
3/17/2009,778.119995,29.440001,12.6,1.303322,47.62,-3.34,89.16,43.13,90.040001
3/18/2009,794.349976,29.610001,12.77,1.348399,55.94,0.03,89.33,57.54,93.089996
3/19/2009,784.039978,30.360001,13.42,1.366195,58.85,1.86,89.52,58.19,94.349998
3/20/2009,768.539978,30.76,13.61,1.358197,56.43,2.93,89.73,59.25,93.589996
3/23/2009,822.919983,31.780001,13.46,1.362045,51.87,2.27,89.89,61.11,92.080002
3/24/2009,806.119995,31.610001,13.25,1.348127,48.7,2.2,90.03,61.61,90.949997
3/25/2009,813.880005,31.209999,13.35,1.3577,51.6,-0.01,90.25,61.73,91.980003
3/26/2009,832.859985,32.02,13.35,1.35307,51.45,-0.39,90.47,60.43,91.93
3/27/2009,815.940002,30.75,13.15,1.329204,47.69,0.13,90.69,61.81,90.690002
3/30/2009,787.530029,28.700001,12.85,1.324696,45.63,2.09,90.88,63.74,89.980003
3/31/2009,797.869995,29.049999,12.79,1.3241,46.68,1.19,91.03,58.42,90.279999
04/01/2009,811.080017,28.58,12.84,1.346692,49.31,-0.08,91.16,57.23,91.029999
04/02/2009,834.380005,30.98,12.77,1.348909,42.59,-2.74,91.26,50.66,88.800003
04/06/2009,835.47998,30.23,11.94,1.327739,34.24,-5.3,91.25,48.04,85.269997
04/07/2009,815.549988,28.940001,12.07,1.325135,38.68,-6.82,91.21,38.01,86.739998
04/08/2009,825.159973,29.49,12.14,1.315997,39.36,-8.2,91.17,26.3,86.610001
04/09/2009,856.559998,30.690001,12.17,1.317593,38.61,-7.78,91.15,27.43,86.309998
4/13/2009,858.72998,29.68,12.57,1.327404,44.57,-4.56,91.12,32.24,87.879997
4/14/2009,841.5,29.209999,12.54,1.322594,43.11,-3.94,91.04,33.88,87.370003
4/15/2009,852.059998,29.309999,12.55,1.318044,43.61,-4.87,91.01,27.15,87.5
4/16/2009,865.299988,29.290001,12.06,1.304495,38.77,-6.66,90.96,19.4,85.809998
4/20/2009,832.390015,27.219999,11.89,1.293494,44.27,-3.37,90.82,25.15,86.949997
4/21/2009,850.080017,27.33,11.86,1.300576,44.08,-3.75,90.76,31.09,86.889999
4/22/2009,843.549988,27.34,12.13,1.314095,46.07,-4.01,90.74,30.12,87.379997
4/23/2009,851.919983,27.879999,12.54,1.325803,51.44,-0.16,90.71,40.56,88.800003
4/27/2009,857.51001,28.08,12.66,1.313094,51.8,4.39,90.58,52.49,89.010002
4/28/2009,855.159973,27.85,12.3,1.326594,47.18,1.16,90.48,46.54,87.75
4/29/2009,873.640015,28.559999,12.55,1.323522,49.41,1.99,90.34,52.83,88.330002
4/30/2009,872.809998,28.629999,12.21,1.326805,45.61,1.11,90.15,52.77,87.269997
05/04/2009,907.23999,30.559999,12.83,1.331593,51.26,1.45,89.79,54.17,88.639999
05/05/2009,903.799988,30.15,13.14,1.331292,49.76,0.86,89.6,55.06,88.25
05/06/2009,919.530029,31.43,13.52,1.339208,54.52,4.35,89.5,65.72,89.540001
05/07/2009,907.390015,31.49,13.6,1.363903,54.09,4.95,89.42,78.81,89.440002
05/11/2009,909.23999,32.290001,13.74,1.364498,54.71,3.22,89.3,77.18,89.690002
